id,time,behaviour
5,01.12.2009,not_sentinel
6,01.12.2009,not_sentinel
7,01.12.2009,not_sentinel
20,01.12.2009,not_sentinel
23,01.12.2009,not_sentinel
25,01.12.2009,not_sentinel
27,01.12.2009,not_sentinel
44,01.12.2009,sentinel
45,01.12.2009,not_sentinel
46,01.12.2009,not_sentinel
47,01.12.2009,not_sentinel
71,01.12.2009,not_sentinel
72,01.12.2009,not_sentinel
73,01.12.2009,not_sentinel
74,01.12.2009,not_sentinel
75,01.12.2009,sentinel
75,01.12.2009,sentinel
76,01.12.2009,sentinel
128,01.12.2009,sentinel
128,01.12.2009,sentinel
129,01.12.2009,not_sentinel
130,01.12.2009,not_sentinel
150,01.12.2009,not_sentinel
153,01.12.2009,not_sentinel
154,01.12.2009,not_sentinel
155,01.12.2009,not_sentinel
156,01.12.2009,not_sentinel
295,01.12.2009,sentinel
297,01.12.2009,not_sentinel
298,01.12.2009,sentinel
299,01.12.2009,not_sentinel
301,01.12.2009,not_sentinel
302,01.12.2009,not_sentinel
324,01.12.2009,not_sentinel
325,01.12.2009,sentinel
326,01.12.2009,not_sentinel
327,01.12.2009,not_sentinel
354,01.12.2009,not_sentinel
355,01.12.2009,not_sentinel
379,01.12.2009,not_sentinel
381,01.12.2009,not_sentinel
384,01.12.2009,not_sentinel
555,01.12.2009,not_sentinel
569,01.12.2009,not_sentinel
570,01.12.2009,not_sentinel
571,01.12.2009,not_sentinel
578,01.12.2009,not_sentinel
580,01.12.2009,sentinel
615,01.12.2009,not_sentinel
616,01.12.2009,not_sentinel
617,01.12.2009,not_sentinel
641,01.12.2009,not_sentinel
643,01.12.2009,not_sentinel
645,01.12.2009,not_sentinel
646,01.12.2009,sentinel
647,01.12.2009,not_sentinel
707,01.12.2009,not_sentinel
5,02.12.2009,sentinel
6,02.12.2009,not_sentinel
7,02.12.2009,not_sentinel
20,02.12.2009,not_sentinel
23,02.12.2009,not_sentinel
25,02.12.2009,not_sentinel
27,02.12.2009,not_sentinel
44,02.12.2009,not_sentinel
45,02.12.2009,not_sentinel
46,02.12.2009,not_sentinel
47,02.12.2009,not_sentinel
71,02.12.2009,not_sentinel
72,02.12.2009,not_sentinel
73,02.12.2009,sentinel
74,02.12.2009,not_sentinel
75,02.12.2009,sentinel
75,02.12.2009,sentinel
75,02.12.2009,sentinel
76,02.12.2009,not_sentinel
126,02.12.2009,not_sentinel
127,02.12.2009,not_sentinel
128,02.12.2009,not_sentinel
129,02.12.2009,not_sentinel
130,02.12.2009,not_sentinel
150,02.12.2009,not_sentinel
153,02.12.2009,not_sentinel
154,02.12.2009,not_sentinel
155,02.12.2009,not_sentinel
156,02.12.2009,not_sentinel
209,02.12.2009,not_sentinel
210,02.12.2009,not_sentinel
211,02.12.2009,sentinel
212,02.12.2009,not_sentinel
213,02.12.2009,not_sentinel
224,02.12.2009,not_sentinel
225,02.12.2009,sentinel
225,02.12.2009,sentinel
226,02.12.2009,sentinel
227,02.12.2009,not_sentinel
228,02.12.2009,not_sentinel
247,02.12.2009,not_sentinel
264,02.12.2009,not_sentinel
266,02.12.2009,not_sentinel
267,02.12.2009,not_sentinel
298,02.12.2009,not_sentinel
299,02.12.2009,not_sentinel
301,02.12.2009,not_sentinel
302,02.12.2009,sentinel
302,02.12.2009,sentinel
324,02.12.2009,sentinel
324,02.12.2009,sentinel
324,02.12.2009,sentinel
324,02.12.2009,sentinel
324,02.12.2009,sentinel
324,02.12.2009,sentinel
324,02.12.2009,sentinel
325,02.12.2009,not_sentinel
326,02.12.2009,not_sentinel
327,02.12.2009,not_sentinel
408,02.12.2009,not_sentinel
409,02.12.2009,not_sentinel
410,02.12.2009,not_sentinel
411,02.12.2009,not_sentinel
414,02.12.2009,not_sentinel
416,02.12.2009,not_sentinel
417,02.12.2009,not_sentinel
418,02.12.2009,not_sentinel
419,02.12.2009,not_sentinel
420,02.12.2009,not_sentinel
421,02.12.2009,not_sentinel
422,02.12.2009,not_sentinel
555,02.12.2009,sentinel
569,02.12.2009,sentinel
569,02.12.2009,sentinel
570,02.12.2009,not_sentinel
571,02.12.2009,sentinel
578,02.12.2009,not_sentinel
580,02.12.2009,sentinel
615,02.12.2009,sentinel
616,02.12.2009,not_sentinel
617,02.12.2009,not_sentinel
641,02.12.2009,not_sentinel
643,02.12.2009,sentinel
645,02.12.2009,not_sentinel
646,02.12.2009,not_sentinel
647,02.12.2009,not_sentinel
692,02.12.2009,not_sentinel
707,02.12.2009,sentinel
715,02.12.2009,not_sentinel
5,03.12.2009,not_sentinel
6,03.12.2009,not_sentinel
7,03.12.2009,not_sentinel
20,03.12.2009,not_sentinel
23,03.12.2009,not_sentinel
25,03.12.2009,not_sentinel
27,03.12.2009,not_sentinel
44,03.12.2009,not_sentinel
45,03.12.2009,not_sentinel
46,03.12.2009,not_sentinel
47,03.12.2009,not_sentinel
71,03.12.2009,sentinel
72,03.12.2009,sentinel
72,03.12.2009,sentinel
73,03.12.2009,not_sentinel
74,03.12.2009,sentinel
74,03.12.2009,sentinel
75,03.12.2009,sentinel
75,03.12.2009,sentinel
76,03.12.2009,sentinel
126,03.12.2009,not_sentinel
127,03.12.2009,not_sentinel
128,03.12.2009,not_sentinel
129,03.12.2009,not_sentinel
130,03.12.2009,not_sentinel
150,03.12.2009,not_sentinel
153,03.12.2009,not_sentinel
154,03.12.2009,not_sentinel
155,03.12.2009,not_sentinel
156,03.12.2009,not_sentinel
209,03.12.2009,not_sentinel
210,03.12.2009,not_sentinel
211,03.12.2009,not_sentinel
212,03.12.2009,not_sentinel
213,03.12.2009,not_sentinel
224,03.12.2009,not_sentinel
225,03.12.2009,not_sentinel
226,03.12.2009,sentinel
227,03.12.2009,not_sentinel
228,03.12.2009,not_sentinel
247,03.12.2009,sentinel
247,03.12.2009,sentinel
264,03.12.2009,sentinel
264,03.12.2009,sentinel
266,03.12.2009,not_sentinel
267,03.12.2009,not_sentinel
298,03.12.2009,not_sentinel
299,03.12.2009,not_sentinel
301,03.12.2009,not_sentinel
302,03.12.2009,not_sentinel
324,03.12.2009,not_sentinel
325,03.12.2009,not_sentinel
326,03.12.2009,not_sentinel
327,03.12.2009,not_sentinel
408,03.12.2009,not_sentinel
409,03.12.2009,not_sentinel
410,03.12.2009,not_sentinel
411,03.12.2009,not_sentinel
412,03.12.2009,not_sentinel
413,03.12.2009,not_sentinel
414,03.12.2009,not_sentinel
416,03.12.2009,not_sentinel
417,03.12.2009,not_sentinel
418,03.12.2009,sentinel
418,03.12.2009,sentinel
419,03.12.2009,sentinel
420,03.12.2009,not_sentinel
421,03.12.2009,not_sentinel
422,03.12.2009,not_sentinel
501,03.12.2009,not_sentinel
502,03.12.2009,not_sentinel
503,03.12.2009,sentinel
504,03.12.2009,not_sentinel
524,03.12.2009,not_sentinel
555,03.12.2009,not_sentinel
569,03.12.2009,sentinel
570,03.12.2009,sentinel
571,03.12.2009,sentinel
571,03.12.2009,sentinel
571,03.12.2009,sentinel
578,03.12.2009,not_sentinel
580,03.12.2009,sentinel
615,03.12.2009,sentinel
615,03.12.2009,sentinel
615,03.12.2009,sentinel
616,03.12.2009,not_sentinel
617,03.12.2009,not_sentinel
641,03.12.2009,sentinel
643,03.12.2009,not_sentinel
645,03.12.2009,not_sentinel
646,03.12.2009,not_sentinel
647,03.12.2009,not_sentinel
692,03.12.2009,not_sentinel
707,03.12.2009,not_sentinel
715,03.12.2009,not_sentinel
5,04.12.2009,not_sentinel
6,04.12.2009,not_sentinel
7,04.12.2009,not_sentinel
20,04.12.2009,not_sentinel
23,04.12.2009,not_sentinel
25,04.12.2009,not_sentinel
27,04.12.2009,not_sentinel
44,04.12.2009,sentinel
45,04.12.2009,not_sentinel
46,04.12.2009,not_sentinel
47,04.12.2009,not_sentinel
71,04.12.2009,sentinel
72,04.12.2009,sentinel
73,04.12.2009,sentinel
74,04.12.2009,sentinel
74,04.12.2009,sentinel
75,04.12.2009,sentinel
75,04.12.2009,sentinel
75,04.12.2009,sentinel
75,04.12.2009,sentinel
76,04.12.2009,not_sentinel
126,04.12.2009,not_sentinel
127,04.12.2009,not_sentinel
128,04.12.2009,not_sentinel
129,04.12.2009,not_sentinel
130,04.12.2009,not_sentinel
150,04.12.2009,not_sentinel
153,04.12.2009,not_sentinel
154,04.12.2009,not_sentinel
155,04.12.2009,not_sentinel
156,04.12.2009,not_sentinel
209,04.12.2009,not_sentinel
210,04.12.2009,not_sentinel
211,04.12.2009,not_sentinel
212,04.12.2009,not_sentinel
213,04.12.2009,not_sentinel
224,04.12.2009,not_sentinel
225,04.12.2009,not_sentinel
226,04.12.2009,sentinel
227,04.12.2009,not_sentinel
228,04.12.2009,not_sentinel
247,04.12.2009,not_sentinel
264,04.12.2009,not_sentinel
266,04.12.2009,not_sentinel
267,04.12.2009,not_sentinel
298,04.12.2009,not_sentinel
299,04.12.2009,sentinel
301,04.12.2009,not_sentinel
302,04.12.2009,not_sentinel
324,04.12.2009,sentinel
325,04.12.2009,sentinel
326,04.12.2009,not_sentinel
327,04.12.2009,not_sentinel
408,04.12.2009,not_sentinel
409,04.12.2009,not_sentinel
410,04.12.2009,not_sentinel
411,04.12.2009,not_sentinel
412,04.12.2009,not_sentinel
413,04.12.2009,not_sentinel
414,04.12.2009,not_sentinel
416,04.12.2009,not_sentinel
417,04.12.2009,not_sentinel
418,04.12.2009,not_sentinel
419,04.12.2009,not_sentinel
420,04.12.2009,not_sentinel
421,04.12.2009,not_sentinel
422,04.12.2009,not_sentinel
615,04.12.2009,not_sentinel
616,04.12.2009,not_sentinel
617,04.12.2009,not_sentinel
641,04.12.2009,not_sentinel
643,04.12.2009,not_sentinel
645,04.12.2009,not_sentinel
646,04.12.2009,not_sentinel
647,04.12.2009,not_sentinel
692,04.12.2009,sentinel
707,04.12.2009,not_sentinel
715,04.12.2009,not_sentinel
5,05.12.2009,not_sentinel
6,05.12.2009,not_sentinel
7,05.12.2009,not_sentinel
20,05.12.2009,not_sentinel
23,05.12.2009,not_sentinel
25,05.12.2009,not_sentinel
27,05.12.2009,not_sentinel
44,05.12.2009,sentinel
44,05.12.2009,sentinel
45,05.12.2009,sentinel
46,05.12.2009,not_sentinel
47,05.12.2009,not_sentinel
71,05.12.2009,not_sentinel
72,05.12.2009,sentinel
73,05.12.2009,sentinel
74,05.12.2009,sentinel
74,05.12.2009,sentinel
74,05.12.2009,sentinel
74,05.12.2009,sentinel
75,05.12.2009,sentinel
75,05.12.2009,sentinel
75,05.12.2009,sentinel
76,05.12.2009,not_sentinel
126,05.12.2009,not_sentinel
127,05.12.2009,not_sentinel
128,05.12.2009,not_sentinel
129,05.12.2009,not_sentinel
130,05.12.2009,not_sentinel
150,05.12.2009,not_sentinel
153,05.12.2009,not_sentinel
154,05.12.2009,not_sentinel
155,05.12.2009,not_sentinel
156,05.12.2009,not_sentinel
208,05.12.2009,not_sentinel
209,05.12.2009,not_sentinel
210,05.12.2009,not_sentinel
211,05.12.2009,not_sentinel
